framework,framework_version,requirement_area,control_reference,capability,datamodel,governance_relevance,mapping_confidence,retention_importance,raw_retention_recommendation,searchable_retention_recommendation,edge_processing_recommendation,tiering_recommendation,source_terms,mapping_rationale,source_url,mapping_method,review_status,notes,updated_at
CIS Controls v8,v8,CIS 12 - Network Infrastructure Management,CIS 12,Network Monitoring,Network_Traffic,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"network, traffic, connections, communications, DNS, segmentation, perimeter","Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Network Monitoring: Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 13 - Network Monitoring and Defense,CIS 13,Alerting and Detection,Alerts,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"alerts, detection, monitoring, intrusion, events, signatures","Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Alerting and Detection: Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 13 - Network Monitoring and Defense,CIS 13,Alerting and Detection,Event_Signatures,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"alerts, detection, monitoring, intrusion, events, signatures","Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Alerting and Detection: Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 13 - Network Monitoring and Defense,CIS 13,Alerting and Detection,Intrusion_Detection,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"alerts, detection, monitoring, intrusion, events, signatures","Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Alerting and Detection: Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 13 - Network Monitoring and Defense,CIS 13,Network Monitoring,Network_Resolution,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"network, traffic, connections, communications, DNS, segmentation, perimeter","Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Network Monitoring: Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 13 - Network Monitoring and Defense,CIS 13,Network Monitoring,Network_Sessions,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"network, traffic, connections, communications, DNS, segmentation, perimeter","Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Network Monitoring: Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 13 - Network Monitoring and Defense,CIS 13,Network Monitoring,Network_Traffic,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"network, traffic, connections, communications, DNS, segmentation, perimeter","Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Network Monitoring: Network communication and name-resolution monitoring aligns to network traffic, sessions and resolution datamodels.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 17 - Incident Response Management,CIS 17,Alerting and Detection,Alerts,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"alerts, detection, monitoring, intrusion, events, signatures","Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Alerting and Detection: Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 17 - Incident Response Management,CIS 17,Alerting and Detection,Event_Signatures,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"alerts, detection, monitoring, intrusion, events, signatures","Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Alerting and Detection: Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 17 - Incident Response Management,CIS 17,Alerting and Detection,Intrusion_Detection,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"alerts, detection, monitoring, intrusion, events, signatures","Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Alerting and Detection: Detection and alerting outcomes align to Alerts, Intrusion_Detection and Event_Signatures.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 17 - Incident Response Management,CIS 17,Incident and Case Management,Alerts,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"incident, response, case, escalation, ticket, reporting",Incident response and case-handling evidence aligns to Ticket_Management and Alerts.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Incident and Case Management: Incident response and case-handling evidence aligns to Ticket_Management and Alerts.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 17 - Incident Response Management,CIS 17,Incident and Case Management,Ticket_Management,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"incident, response, case, escalation, ticket, reporting",Incident response and case-handling evidence aligns to Ticket_Management and Alerts.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Incident and Case Management: Incident response and case-handling evidence aligns to Ticket_Management and Alerts.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 2 - Inventory and Control of Software Assets,CIS 2,Change Monitoring,Change,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"change, configuration, system changes, modification, integrity",Configuration and system modification evidence aligns to Change and Change_Analysis.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Change Monitoring: Configuration and system modification evidence aligns to Change and Change_Analysis.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 2 - Inventory and Control of Software Assets,CIS 2,Change Monitoring,Change_Analysis,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"change, configuration, system changes, modification, integrity",Configuration and system modification evidence aligns to Change and Change_Analysis.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Change Monitoring: Configuration and system modification evidence aligns to Change and Change_Analysis.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 2 - Inventory and Control of Software Assets,CIS 2,Endpoint Monitoring,Compute_Inventory,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"endpoint, system, host, device, process, workload, inventory","Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Endpoint Monitoring: Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 2 - Inventory and Control of Software Assets,CIS 2,Endpoint Monitoring,Endpoint,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"endpoint, system, host, device, process, workload, inventory","Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Endpoint Monitoring: Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 3 - Data Protection,CIS 3,Certificate and Crypto Monitoring,Certificates,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"certificate, cryptography, encryption, key management, TLS",Certificate and cryptographic lifecycle telemetry aligns to Certificates.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Certificate and Crypto Monitoring: Certificate and cryptographic lifecycle telemetry aligns to Certificates.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 3 - Data Protection,CIS 3,Data Access Monitoring,DLP,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"data access, sensitive data, cardholder data, personal data, confidentiality, exfiltration",Controls requiring visibility of sensitive data access or loss prevention align to Data_Access and DLP.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Data Access Monitoring: Controls requiring visibility of sensitive data access or loss prevention align to Data_Access and DLP.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 3 - Data Protection,CIS 3,Data Access Monitoring,Data_Access,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"data access, sensitive data, cardholder data, personal data, confidentiality, exfiltration",Controls requiring visibility of sensitive data access or loss prevention align to Data_Access and DLP.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Data Access Monitoring: Controls requiring visibility of sensitive data access or loss prevention align to Data_Access and DLP.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 4 - Secure Configuration of Enterprise Assets and Software,CIS 4,Change Monitoring,Change,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"change, configuration, system changes, modification, integrity",Configuration and system modification evidence aligns to Change and Change_Analysis.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Change Monitoring: Configuration and system modification evidence aligns to Change and Change_Analysis.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 4 - Secure Configuration of Enterprise Assets and Software,CIS 4,Change Monitoring,Change_Analysis,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"change, configuration, system changes, modification, integrity",Configuration and system modification evidence aligns to Change and Change_Analysis.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Change Monitoring: Configuration and system modification evidence aligns to Change and Change_Analysis.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 4 - Secure Configuration of Enterprise Assets and Software,CIS 4,Endpoint Monitoring,Compute_Inventory,Medium-High,Medium,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"endpoint, system, host, device, process, workload, inventory","Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Endpoint Monitoring: Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 4 - Secure Configuration of Enterprise Assets and Software,CIS 4,Endpoint Monitoring,Endpoint,Medium-High,High,Medium-High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for security operations and evidence review; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 2,"endpoint, system, host, device, process, workload, inventory","Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,"Endpoint Monitoring: Host, endpoint and asset telemetry aligns to Endpoint and Compute_Inventory evidence.",2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 5 - Account Management,CIS 5,Authentication Monitoring,Authentication,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"authentication, logon, login, credentials, MFA, session, access attempt",Access monitoring and authentication evidence aligns directly to Authentication events.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Authentication Monitoring: Access monitoring and authentication evidence aligns directly to Authentication events.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 5 - Account Management,CIS 5,Privileged Access Monitoring,Authentication,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"privileged access, administrator, remote access, account activity, access rights",Privileged activity requires authentication context and often administrative change evidence.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Privileged Access Monitoring: Privileged activity requires authentication context and often administrative change evidence.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 5 - Account Management,CIS 5,Privileged Access Monitoring,Change,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"privileged access, administrator, remote access, account activity, access rights",Privileged activity requires authentication context and often administrative change evidence.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Privileged Access Monitoring: Privileged activity requires authentication context and often administrative change evidence.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 6 - Access Control Management,CIS 6,Authentication Monitoring,Authentication,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"authentication, logon, login, credentials, MFA, session, access attempt",Access monitoring and authentication evidence aligns directly to Authentication events.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Authentication Monitoring: Access monitoring and authentication evidence aligns directly to Authentication events.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 6 - Access Control Management,CIS 6,Data Access Monitoring,DLP,High,Medium,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"data access, sensitive data, cardholder data, personal data, confidentiality, exfiltration",Controls requiring visibility of sensitive data access or loss prevention align to Data_Access and DLP.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Data Access Monitoring: Controls requiring visibility of sensitive data access or loss prevention align to Data_Access and DLP.,2026-06-11T15:26:33Z
CIS Controls v8,v8,CIS 6 - Access Control Management,CIS 6,Data Access Monitoring,Data_Access,High,High,High,"Retain raw events where required for investigation, audit evidence, breach analysis, or operational validation.",Keep searchable for audit/investigation window; archive per policy thereafter,Do not filter governance-relevant fields before indexing; consider selective edge reduction only after validating required evidence.,Tier 1,"data access, sensitive data, cardholder data, personal data, confidentiality, exfiltration",Controls requiring visibility of sensitive data access or loss prevention align to Data_Access and DLP.,https://www.cisecurity.org/controls/v8,"Framework control area classified to DIG governance capability, then capability mapped to discovered Splunk CIM datamodel.",DIG seed - review recommended,Data Access Monitoring: Controls requiring visibility of sensitive data access or loss prevention align to Data_Access and DLP.,2026-06-11T15:26:33Z
