framework,framework_version,requirement_area,control_reference,capability,datamodel,governance_relevance,mapping_confidence,retention_importance,raw_retention_recommendation,searchable_retention_recommendation,edge_processing_recommendation,tiering_recommendation,source_terms,mapping_rationale,source_url,mapping_method,review_status,notes,updated_at
CIS Controls v8,v8,CIS 13 - Network Monitoring and Defense,CIS 13,Network Monitoring,Network_Traffic,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"network monitoring, traffic, defense",Network traffic monitoring is primary potential evidence for network defense controls.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 13 maps to Network_Traffic as primary evidence; grouped under Network Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 17 - Incident Response Management,CIS 17,Incident and Case Management,Alerts,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"incident, alert, escalation",Alert records can support potential evidence of incident detection handoff into response.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 17 maps to Alerts as supporting evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 17 - Incident Response Management,CIS 17,Incident and Case Management,Ticket_Management,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"incident, response, case, ticket",Ticket/case telemetry is primary potential evidence for incident-response handling.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 17 maps to Ticket_Management as primary evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 2 - Inventory and Control of Software Assets,CIS 2,Change Monitoring,Change,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"software, install, change",Software install/change events can support potential evidence of unauthorized software changes.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 2 maps to Change as supporting evidence; grouped under Change Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 2 - Inventory and Control of Software Assets,CIS 2,Endpoint Monitoring,Compute_Inventory,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"software, inventory, application",Software/asset inventory telemetry is primary potential evidence for software asset control.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 2 maps to Compute_Inventory as primary evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 2 - Inventory and Control of Software Assets,CIS 2,Endpoint Monitoring,Endpoint,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"software, process, execution",Endpoint process telemetry can support software inventory and execution visibility.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 2 maps to Endpoint as supporting evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 3 - Data Protection,CIS 3,Certificate and Crypto Monitoring,Certificates,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"encryption, certificate, cryptography",Certificate/crypto telemetry can support potential evidence of encryption controls for protected data.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 3 maps to Certificates as supporting evidence; grouped under Certificate and Crypto Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 3 - Data Protection,CIS 3,Data Access Monitoring,DLP,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"DLP, exfiltration, sensitive data",DLP events can support potential evidence of sensitive-data loss prevention.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 3 maps to DLP as supporting evidence; grouped under Data Access Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 3 - Data Protection,CIS 3,Data Access Monitoring,Data_Access,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"data protection, sensitive data, access",Data access events are primary potential evidence for data-protection visibility.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 3 maps to Data_Access as primary evidence; grouped under Data Access Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 4 - Secure Configuration of Enterprise Assets and Software,CIS 4,Change Monitoring,Change,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"secure configuration, hardening, change",Configuration change events are primary potential evidence for secure-configuration management.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 4 maps to Change as primary evidence; grouped under Change Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 4 - Secure Configuration of Enterprise Assets and Software,CIS 4,Endpoint Monitoring,Endpoint,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"host, configuration, endpoint",Endpoint telemetry can support potential evidence that hardened hosts remain in expected state.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 4 maps to Endpoint as supporting evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 5 - Account Management,CIS 5,Authentication Monitoring,Authentication,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"account, authentication, logon",Authentication events are primary potential evidence for account use and account lifecycle monitoring.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 5 maps to Authentication as primary evidence; grouped under Authentication Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 5 - Account Management,CIS 5,Change Monitoring,Change,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"account change, privilege, modification",Account/privilege modification events can support potential evidence of account management changes.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 5 maps to Change as supporting evidence; grouped under Change Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 6 - Access Control Management,CIS 6,Authentication Monitoring,Authentication,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"access control, authentication, authorization",Authentication events are primary potential evidence for access-control enforcement.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 6 maps to Authentication as primary evidence; grouped under Authentication Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 6 - Access Control Management,CIS 6,Data Access Monitoring,Data_Access,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"access, sensitive data, authorization",Data access events can support potential evidence of least-privilege access to sensitive data.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 6 maps to Data_Access as supporting evidence; grouped under Data Access Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 6 - Access Control Management,CIS 6,Privileged Access Monitoring,Change,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"privileged, administrator, access rights",Administrative change events can support potential evidence of privileged access-rights changes.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 6 maps to Change as supporting evidence; grouped under Privileged Access Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 7 - Continuous Vulnerability Management,CIS 7,Vulnerability Management,Updates,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"patch, update, remediation",Patch/update telemetry can support potential evidence of remediation activity.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 7 maps to Updates as supporting evidence; grouped under Vulnerability Management.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 7 - Continuous Vulnerability Management,CIS 7,Vulnerability Management,Vulnerabilities,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"vulnerability, CVE, assessment",Vulnerability findings are primary potential evidence for continuous vulnerability management.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 7 maps to Vulnerabilities as primary evidence; grouped under Vulnerability Management.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 8 - Audit Log Management,CIS 8,Alerting and Detection,Alerts,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"audit log, alert, review",Security alert outcomes can support potential evidence that audit logs are reviewed/acted on.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 8 maps to Alerts as supporting evidence; grouped under Alerting and Detection.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 8 - Audit Log Management,CIS 8,Authentication Monitoring,Authentication,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"audit log, authentication, logon",Authentication logs are primary potential evidence commonly required in audit-log management.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 8 maps to Authentication as primary evidence; grouped under Authentication Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 8 - Audit Log Management,CIS 8,Endpoint Monitoring,Endpoint,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"audit log, endpoint, host",Endpoint process/system logs can support potential evidence of host audit-log collection.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 8 maps to Endpoint as supporting evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 8 - Audit Log Management,CIS 8,Network Monitoring,Network_Traffic,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"audit log, network, traffic",Network traffic logs can support potential evidence of network-related audit-log sources.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 8 maps to Network_Traffic as supporting evidence; grouped under Network Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 9 - Email and Web Browser Protections,CIS 9,Email Monitoring,Email,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"email, phishing, mail gateway",Email security telemetry is primary potential evidence for email-protection controls.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 9 maps to Email as primary evidence; grouped under Email Monitoring.,2026-08-03T15:52:12Z
CIS Controls v8,v8,CIS 9 - Email and Web Browser Protections,CIS 9,Web Activity Monitoring,Web,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"web, browser, proxy, URL",Web proxy/activity telemetry is primary potential evidence for browser/web protections.,https://www.cisecurity.org/controls/v8,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,CIS Controls v8 CIS 9 maps to Web as primary evidence; grouped under Web Activity Monitoring.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Art 10 - Detection,Art 10,Alerting and Detection,Alerts,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"detection, anomalous activity, alert",Alert outcomes are primary potential evidence for DORA detection obligations.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 10 maps to Alerts as primary evidence; grouped under Alerting and Detection.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Art 10 - Detection,Art 10,Alerting and Detection,Intrusion_Detection,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"detection, IDS",IDS/IPS events can support potential evidence of intrusion detection capabilities.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 10 maps to Intrusion_Detection as supporting evidence; grouped under Alerting and Detection.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Art 10 - Detection,Art 10,Authentication Monitoring,Authentication,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"detection, authentication",Authentication anomalies can support potential evidence of detection use-cases.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 10 maps to Authentication as supporting evidence; grouped under Authentication Monitoring.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Art 10 - Detection,Art 10,Endpoint Monitoring,Endpoint,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"detection, endpoint",Endpoint telemetry can support potential evidence of host anomalous activity detection.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 10 maps to Endpoint as supporting evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Art 10 - Detection,Art 10,Network Monitoring,Network_Traffic,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"detection, network",Network telemetry can support potential evidence of anomalous activity detection.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 10 maps to Network_Traffic as supporting evidence; grouped under Network Monitoring.,2026-08-03T15:52:12Z
DORA,Regulation (EU) 2022/2554,Art 11 - Response and Recovery,Art 11,Application and Service Resilience,Databases,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"recovery, database",Database health can support potential evidence of data-tier recovery readiness.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,DORA Art 11 maps to Databases as supporting evidence; grouped under Application and Service Resilience.,2026-08-03T15:52:12Z
